relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load,cooling_load,heating_cost,predicted_heating,cost,savings,savings_pct,error
0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55,21.33,1.866,15.55,1.87,0.81,30.29,0.0
0.98,514.5,294.0,110.25,7.0,3,0.0,0,15.55,21.33,1.866,15.55,1.87,0.81,30.29,0.0
0.98,514.5,294.0,110.25,7.0,4,0.0,0,15.55,21.33,1.866,15.55,1.87,0.81,30.29,0.0
0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55,21.33,1.866,15.55,1.87,0.81,30.29,0.0
0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84,28.28,2.5008,20.84,2.5,0.18,6.58,0.0
0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46,25.38,2.5752,21.46,2.58,0.1,3.8,0.0
0.9,563.5,318.5,122.5,7.0,4,0.0,0,20.71,25.16,2.4852,20.71,2.49,0.19,7.16,0.0
0.9,563.5,318.5,122.5,7.0,5,0.0,0,19.68,29.6,2.3615999999999997,19.68,2.36,0.32,11.78,0.0
0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5,27.3,2.34,19.5,2.34,0.34,12.58,0.0
0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95,21.97,2.3939999999999997,19.95,2.39,0.28,10.57,0.0
0.86,588.0,294.0,147.0,7.0,4,0.0,0,19.34,23.49,2.3207999999999998,19.34,2.32,0.36,13.3,0.0
0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31,27.87,2.1971999999999996,18.31,2.2,0.48,17.92,0.0
0.82,612.5,318.5,147.0,7.0,2,0.0,0,17.05,23.77,2.046,17.05,2.05,0.63,23.57,0.0
0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41,21.46,2.0892,17.41,2.09,0.59,21.95,0.0
0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95,21.16,2.034,16.95,2.03,0.64,24.02,0.0
0.82,612.5,318.5,147.0,7.0,5,0.0,0,15.98,24.93,1.9176,15.98,1.92,0.76,28.36,0.0
0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52,37.73,3.4223999999999997,28.52,3.42,-0.75,-27.85,0.0
0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9,31.27,3.5879999999999996,29.9,3.59,-0.91,-34.04,0.0
0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63,30.93,3.5555999999999996,29.63,3.56,-0.88,-32.83,0.0
0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75,39.44,3.4499999999999997,28.75,3.45,-0.77,-28.88,0.0
0.76,661.5,416.5,122.5,7.0,2,0.0,0,24.77,29.79,2.9724,24.77,2.97,-0.3,-11.04,0.0
0.76,661.5,416.5,122.5,7.0,3,0.0,0,23.93,29.68,2.8716,23.93,2.87,-0.19,-7.27,0.0
0.76,661.5,416.5,122.5,7.0,4,0.0,0,24.77,29.79,2.9724,24.77,2.97,-0.3,-11.04,0.0
0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93,29.4,2.8716,23.93,2.87,-0.19,-7.27,0.0
